google_folder_id,google_folder_name,google_folder_color_rgb,google_folder_url
1r-m4aHdetcCn2fZw3KZigIzxP1lTxXPf,02 Trường MG Bông Sen,#8f8f8f,https://drive.google.com/drive/folders/1r-m4aHdetcCn2fZw3KZigIzxP1lTxXPf
1qXngwVpsbsh9hhN97K8rWVeuAut3BEXI,02 Trường Mầm non Vành Khuyên,#8f8f8f,https://drive.google.com/drive/folders/1qXngwVpsbsh9hhN97K8rWVeuAut3BEXI
1YD03s6WkWhRgXRH9MwSNV88TRS7GbxEE,02-Chảo Thiên Ân,#8f8f8f,https://drive.google.com/drive/folders/1YD03s6WkWhRgXRH9MwSNV88TRS7GbxEE
1AErh-zx0VZKZaOJHiY2wdslBwk_zt_QZ,02-Vàng Thị Hoa,#8f8f8f,https://drive.google.com/drive/folders/1AErh-zx0VZKZaOJHiY2wdslBwk_zt_QZ
1DW-mnLq1yTQaxX9f4AHwB0MrmQyYfxSz,02-Ảnh nuôi em lop 6B,#8f8f8f,https://drive.google.com/drive/folders/1DW-mnLq1yTQaxX9f4AHwB0MrmQyYfxSz
1E_Qva__ScusqxQvsGkPmUhaN7D51LIHP,02. GIÀNG THỊ MAI,#8f8f8f,https://drive.google.com/drive/folders/1E_Qva__ScusqxQvsGkPmUhaN7D51LIHP
1GMCdnRPjstiCEqnBc1H_SMgfqVQunAvQ,02. Lù Thị Dương,#8f8f8f,https://drive.google.com/drive/folders/1GMCdnRPjstiCEqnBc1H_SMgfqVQunAvQ
1fJK_Yh5roT6-GjUGBYgBuR7_qGx6IvyQ,03 GIÀNG THỊ DUA,#8f8f8f,https://drive.google.com/drive/folders/1fJK_Yh5roT6-GjUGBYgBuR7_qGx6IvyQ
1KIR0Y89YBLBtmZBhu78FZqn0Y13AmcI5,03 Hầu Thị Mái,#8f8f8f,https://drive.google.com/drive/folders/1KIR0Y89YBLBtmZBhu78FZqn0Y13AmcI5
1U-o_hmvABMzr8_UAbJrVF0ztYWnEsPsM,03 Mầm non Sơn Điện,#8f8f8f,https://drive.google.com/drive/folders/1U-o_hmvABMzr8_UAbJrVF0ztYWnEsPsM
1-BZzU7JLXW_zS0FC0PaoLUTe_WU50c54,03 THÀO MÍ CHÁ,#8f8f8f,https://drive.google.com/drive/folders/1-BZzU7JLXW_zS0FC0PaoLUTe_WU50c54
1grBvzK7dum-iL6i9PMIJJyz4aEIOLBKF,03 Trường Mầm non Sơn Ca,#8f8f8f,https://drive.google.com/drive/folders/1grBvzK7dum-iL6i9PMIJJyz4aEIOLBKF
1m1QR7R-O9f52NjpkVXQJczBtdxbKWzg6,03 Trường TH & THCS Kim Đồng,#8f8f8f,https://drive.google.com/drive/folders/1m1QR7R-O9f52NjpkVXQJczBtdxbKWzg6
11FWatjkrqA6jYo_DBIKg3PB0-y_3sS2R,03-Anh hs lop 6C,#8f8f8f,https://drive.google.com/drive/folders/11FWatjkrqA6jYo_DBIKg3PB0-y_3sS2R
1zHm73B7jk-VS6fIG1d2d7aZpDRpgpG-2,03-Mua Mí Khang,#8f8f8f,https://drive.google.com/drive/folders/1zHm73B7jk-VS6fIG1d2d7aZpDRpgpG-2
1gOkUkAwnUm5JgqprM2enWbvcMYJzuFqL,03-Sùng Mí Lâm,#8f8f8f,https://drive.google.com/drive/folders/1gOkUkAwnUm5JgqprM2enWbvcMYJzuFqL
15c71xXz7mLeXRfw85aJoQ5H_M8hkxWsZ,03-Tong hop ảnh hoc sinh cac lop (THCS Nậm Khắt),#8f8f8f,https://drive.google.com/drive/folders/15c71xXz7mLeXRfw85aJoQ5H_M8hkxWsZ
1CCzTl7x2aKc626M4ddDH-KU2-__sfsUJ,03-Tong hop ảnh hoc sinh cac lop (THCS Nậm Khắt),#8f8f8f,https://drive.google.com/drive/folders/1CCzTl7x2aKc626M4ddDH-KU2-__sfsUJ
15N6fAYF9AecLykq9j1ZfPRbbeQMossuH,03. file ảnh,#8f8f8f,https://drive.google.com/drive/folders/15N6fAYF9AecLykq9j1ZfPRbbeQMossuH
1U_atva-0Pnamc5_ypdhlWnWHXvx0V-Mv,03. file ảnh,#8f8f8f,https://drive.google.com/drive/folders/1U_atva-0Pnamc5_ypdhlWnWHXvx0V-Mv
